               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11726,            0.030887,             0.02739,           0.0012034,               0.125,           0.0016491,          0.00070928,             0.10887,            0.032802,            0.026929,              0.0982,              0.0002,              0.0002
                   1,             0.11535,            0.032966,            0.027687,           0.0019569,               0.125,           0.0044948,           0.0019198,             0.10668,            0.033472,            0.026868,             0.09549,           0.0004901,           0.0004901
                   2,             0.11415,            0.034239,            0.027239,           0.0022075,               0.125,           0.0060516,            0.002178,             0.10526,            0.034028,            0.026819,            0.092768,          0.00076832,          0.00076832
                   3,               0.109,            0.035867,            0.027661,            0.002445,               0.125,           0.0051189,            0.001838,             0.10292,            0.034312,             0.02674,            0.090035,           0.0010347,           0.0010347
                   4,             0.10784,            0.036497,            0.027466,           0.0026805,                0.25,           0.0077185,           0.0017685,             0.10057,            0.035379,            0.026666,            0.087289,           0.0012891,           0.0012891
                   5,              0.1041,             0.03667,            0.026704,           0.0035149,              0.3125,           0.0089766,           0.0017096,            0.099829,            0.035664,            0.026648,            0.084532,           0.0015317,           0.0015317
                   6,             0.10552,             0.03592,            0.027626,           0.0040151,              0.4375,            0.012033,           0.0022308,            0.098158,            0.036316,            0.026617,            0.081762,           0.0017624,           0.0017624
                   7,             0.10118,            0.039834,            0.026301,           0.0051484,              0.4375,            0.014659,           0.0028817,            0.097265,            0.036722,            0.026611,            0.078981,           0.0019812,           0.0019812
                   8,            0.099523,            0.033363,            0.025575,           0.0075038,                0.75,            0.025758,            0.004143,            0.095645,            0.037376,            0.026569,            0.076188,           0.0021882,           0.0021882
                   9,            0.098146,            0.035047,            0.026021,            0.008992,               0.875,            0.033236,            0.005253,             0.09472,            0.037758,            0.026526,            0.073383,           0.0023832,           0.0023832
                  10,            0.094657,            0.042046,            0.025307,           0.0096824,               0.875,            0.092074,            0.013993,            0.093056,            0.038572,             0.02641,            0.070566,           0.0025664,           0.0025664
                  11,            0.092552,            0.037995,            0.025723,           0.0083696,              0.8125,             0.10152,            0.015266,            0.092032,               0.039,            0.026343,            0.067738,           0.0027377,           0.0027377
                  12,             0.09204,            0.035356,            0.024967,           0.0085755,              0.8125,             0.11723,             0.02113,            0.090651,            0.039302,            0.026208,            0.064897,           0.0028971,           0.0028971
                  13,            0.090704,            0.039559,            0.024518,           0.0098552,               0.875,             0.13732,            0.024257,            0.089934,            0.039432,            0.026135,            0.062045,           0.0030447,           0.0030447
                  14,            0.087324,            0.036667,             0.02444,           0.0082942,              0.8125,             0.20632,            0.034845,            0.088715,            0.039682,            0.025983,             0.05918,           0.0031803,           0.0031803
                  15,            0.085836,            0.040329,            0.023692,           0.0082065,              0.8125,             0.21595,            0.040244,            0.087804,            0.039926,            0.025867,            0.056304,           0.0033041,           0.0033041
                  16,            0.086398,            0.038291,            0.023863,            0.007699,              0.8125,             0.19367,            0.052153,            0.086392,            0.040301,            0.025659,            0.053416,            0.003416,            0.003416
                  17,            0.085883,            0.035323,            0.023779,           0.0073411,              0.8125,             0.18526,            0.055978,            0.085327,            0.040567,            0.025519,            0.050516,            0.003516,            0.003516
                  18,            0.082055,            0.037132,            0.022896,           0.0069192,              0.8125,             0.22282,            0.077933,            0.084062,            0.040889,            0.025299,            0.047604,           0.0036042,           0.0036042
                  19,            0.083288,            0.039293,            0.022712,           0.0065333,              0.8125,             0.25438,            0.094287,            0.082728,            0.041154,            0.025049,             0.04468,           0.0036804,           0.0036804
                  20,            0.080744,            0.039463,            0.022517,           0.0063167,              0.8125,             0.21962,            0.086129,            0.081365,            0.041321,            0.024805,            0.041745,           0.0037448,           0.0037448
                  21,            0.081568,            0.033717,            0.021528,            0.005978,              0.8125,             0.26157,             0.10808,            0.079819,            0.041305,            0.024561,            0.038797,           0.0037973,           0.0037973
                  22,            0.077543,            0.038571,            0.022617,            0.039327,              0.6875,             0.22913,            0.099507,            0.078215,            0.041278,            0.024261,            0.035838,           0.0038379,           0.0038379
                  23,            0.077324,            0.038002,            0.021446,             0.64911,               0.125,             0.23508,             0.10698,            0.076572,            0.041041,            0.023871,            0.032867,           0.0038667,           0.0038667
                  24,            0.077316,            0.033992,            0.020466,             0.68755,               0.125,             0.29647,             0.10006,            0.075345,            0.040445,            0.023468,            0.029884,           0.0038835,           0.0038835
                  25,            0.074808,            0.036301,            0.020944,             0.66804,                0.25,              0.2649,             0.12021,            0.074027,            0.039803,            0.023047,            0.026888,           0.0038885,           0.0038885
                  26,            0.072273,            0.032793,            0.020074,             0.65101,              0.1875,             0.30123,            0.088823,            0.073532,            0.038812,            0.022546,            0.023882,           0.0038816,           0.0038816
